,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time,,
0,815.62,0.072624478,0.468716367,1.95,0.000829695,0.011987122,0.003625838,0.05,0.006103754,63.2,0.553327967,0.083183765,,
1,815.62,0.074168281,0.349931715,1.73,0.000965755,0.020045996,0.004047394,0.03,0.004934311,62.5,0.444145992,0.084115741,,
2,815.62,0.085215099,0.373561128,1.55,0.00083234,0.011710405,0.003681183,0.03,0.00459528,88.9,0.470486632,0.094323902,,
3,815.62,0.084811477,0.366083253,1.42,0.00082473,0.011302948,0.003603697,0.02,0.004570007,62.5,0.462197678,0.093809911,,
4,815.62,0.077633964,0.369154144,1.83,0.000733864,0.012634277,0.00380969,0.02,0.004554033,80,0.459422385,0.086731551,,
5,815.62,0.070901491,0.449380304,1.96,0.000820221,0.011972189,0.003799677,0.02,0.004553318,80,0.532253984,0.080074707,,
6,815.62,0.072371504,0.370068978,2.03,0.000872674,0.010968447,0.003551722,0.04,0.00456357,62.5,0.453408929,0.08135947,,
7,815.62,0.09652653,0.458000819,2.38,0.00132658,0.011536598,0.003726244,0.02,0.004559517,57.1,0.566063947,0.106138871,,
8,815.62,0.068862135,0.377094215,2.34,0.000947767,0.011687994,0.003774881,0.02,0.004568577,60,0.457644344,0.07815336,,
9,815.62,0.080986331,0.521721721,2.08,0.000964278,0.011882782,0.003661394,0.02,0.004598856,76.9,0.614590834,0.090210859,,
10,815.62,0.085713237,0.401175861,2.27,0.001060636,0.011455774,0.003676176,0.04,0.004594326,54.5,0.498344872,0.095044375,,
11,815.62,0.086355792,0.332586008,1.9,0.001040472,0.011380672,0.003607512,0.02,0.004594088,75,0.430322472,0.095597864,,
12,815.62,0.076437364,0.363561763,2.44,0.001188332,0.010857344,0.003589869,0.02,0.00459218,76.5,0.450856471,0.085807745,,
13,815.62,0.078899174,0.370359861,2.86,0.001645548,0.01180625,0.003690958,0.02,0.004594326,50,0.461065285,0.088830006,,
14,815.62,0.073784183,0.484601277,3.94,0.001687323,0.013383865,0.003991842,0.03,0.004590034,62.5,0.571769325,0.084053382,,
15,815.62,0.098253275,0.440190634,2.79,0.001121427,0.010953426,0.00366354,0.03,0.004596233,50,0.549397335,0.107634475,,
16,815.62,0.085429689,0.383656321,0.73,0.000384604,0.011367321,0.00363493,0.02,0.004622698,73.3,0.480453331,0.094071921,,
17,815.62,0.089478216,0.365231906,2.84,0.001655808,0.011378765,0.003878593,0.02,0.004633188,44.4,0.466088887,0.099645805,,
18,815.62,0.07100395,0.511801467,2.32,0.001110406,0.012357473,0.00389719,0.02,0.004642725,88.9,0.59516289,0.080654271,,
19,815.62,0.087617834,0.340919756,2.46,0.001158649,0.011722803,0.003620148,0.04,0.00463748,62.5,0.440260393,0.097034111,,
20,815.62,0.093874687,0.356782839,2.21,0.001235286,0.011764765,0.003774166,0.02,0.004627705,50,0.462422291,0.103511844,,
21,815.62,0.072377788,0.384145393,2.63,0.001203565,0.012244463,0.004036188,0.02,0.004639149,77.8,0.468767644,0.08225669,,
22,815.62,0.082486389,0.393978251,2.6,0.001080813,0.011995316,0.003885508,0.02,0.00486064,64.7,0.488459956,0.09231335,,
23,815.62,0.098239725,0.51551402,2.49,0.001000021,0.011143923,0.003730059,0.02,0.004803896,50,0.624897668,0.107773701,,
24,815.62,0.069886577,0.411448353,3,0.001871245,0.012208223,0.003353357,0.04,0.004850626,62.5,0.493543153,0.079961805,,
25,815.62,0.088649656,0.520847322,3.92,0.001822421,0.011825323,0.003808022,0.02,0.005066872,56.2,0.621322301,0.099346971,,
26,815.62,0.097603145,0.504098053,3,0.001207352,0.011577129,0.003580332,0.02,0.004822016,50,0.613278327,0.107212845,,
27,815.62,0.091603322,0.481606642,2.72,0.001250875,0.010760069,0.003555775,0.02,0.004851341,75,0.583970033,0.101261313,,
28,815.62,0.085981135,0.342837427,4.27,0.002230259,0.011522293,0.003566027,0.04,0.004831553,62.5,0.440340855,0.096608974,,
29,815.62,0.092287666,0.510641723,3.73,0.00241829,0.011454105,0.003938437,0.02,0.004796028,62.5,0.614383494,0.103440421,,
30,815.62,0.089484028,0.48199867,3,0.001634742,0.01208353,0.003844261,0.02,0.004854918,56.2,0.583566228,0.099817949,,
31,815.62,0.069971316,0.41591163,3.29,0.001792081,0.011048317,0.00371027,0.02,0.005008936,88.9,0.496931263,0.080482603,,
32,815.62,0.098761951,0.4174647,2.6,0.001419273,0.011748791,0.003860712,0.03,0.005140543,75,0.527975442,0.109182479,,
33,815.62,0.085459528,0.377588781,4.42,0.002167217,0.013028622,0.004169226,0.03,0.004957199,50,0.476076931,0.09675317,,
34,815.62,0.069472375,0.338311393,3.76,0.001602776,0.011843204,0.003744125,0.02,0.005167961,62.5,0.419626972,0.079987237,,
35,815.62,0.069854214,0.394786581,4.16,0.001704186,0.013142586,0.004754066,0.02,0.004833937,100,0.477783381,0.081146403,,
36,815.62,0.075986163,0.340846687,3.06,0.002017473,0.011582613,0.00373292,0.02,0.004847288,50,0.428415463,0.086583844,,
37,815.62,0.075997288,0.405779161,3.29,0.00160562,0.012692213,0.004113197,0.04,0.004821777,62.5,0.494468662,0.086537882,,
38,815.62,0.074074989,0.435574972,4.42,0.002095193,0.011464119,0.003654242,0.02,0.004791737,50,0.52111408,0.084616161,,
39,815.62,0.091593787,0.467320421,4.96,0.002049809,0.011214972,0.003692627,0.02,0.004797935,68.8,0.57012918,0.102134158,,
40,815.62,0.075703701,0.362188099,4.22,0.001717095,0.01196456,0.003907204,0.02,0.004878759,50,0.44985636,0.086206759,,
41,815.62,0.083653743,0.487227397,1.72,0.000985185,0.013053894,0.004204273,0.02,0.00480175,71.4,0.583935034,0.093644951,,
42,815.62,0.076522297,0.383839387,4.3,0.001923848,0.011316776,0.003615379,0.04,0.004869938,50,0.47167846,0.086931462,,
43,815.62,0.092018461,0.405754302,3.86,0.002047193,0.01131916,0.003744841,0.02,0.00480628,62.5,0.509091923,0.102616775,,
44,815.62,0.091014229,0.454552598,5.42,0.002310922,0.011458158,0.003618479,0.02,0.005405903,50,0.557024985,0.102349533,,
45,815.62,0.07455043,0.541019703,4.52,0.00203481,0.010828733,0.003556967,0.02,0.004972458,62.5,0.626398866,0.085114665,,
46,815.62,0.079570016,0.530254327,3.97,0.002083166,0.011566162,0.003642559,0.03,0.005167484,64.7,0.621390505,0.090463225,,
