,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time
0,815.62,0.083490467,0.385842321,10.3,0.004871536,0.015423536,0.004104575,0.02,0.012548685,91.4,0.484756324,0.105015263
1,815.62,0.074009744,0.536043211,38.83,0.025519816,0.012684822,0.004793406,0.02,0.010926723,93.5,0.622737777,0.115249688
2,815.62,0.07363852,0.473741453,15.08,0.008760133,0.011545658,0.004234076,0.01,0.018897295,94.4,0.558925631,0.105530024
3,815.62,0.08793666,0.490125463,16.39,0.00985063,0.036973715,0.004380226,0.01,0.008070946,95.9,0.615035838,0.110238462
4,815.62,0.081517487,0.356013975,22.98,0.010030796,0.011311054,0.004145384,0.02,0.019887447,94.8,0.448842516,0.115581114
5,815.62,0.101793786,0.444028407,27.77,0.01511887,0.012536049,0.005459547,0.01,0.012094259,96.8,0.558358242,0.134466462
6,815.62,0.085591804,0.464587767,23.53,0.013405293,0.010731936,0.004582405,0.01,0.006042719,95.6,0.560911507,0.109622221
7,815.62,0.091232433,0.436221073,11.25,0.006018932,0.012853622,0.005595207,0.01,0.005857468,95.9,0.540307128,0.108704039
8,815.62,0.083390965,0.449274438,28.15,0.01550836,0.013824463,0.004721642,0.02,0.007688999,93.6,0.546489866,0.111309966
9,815.62,0.100352577,0.349721428,26.63,0.011418706,0.012972116,0.005352259,0.01,0.007641315,96.9,0.463046121,0.124764857
10,815.62,0.080812853,0.369314481,27.76,0.012570489,0.009819269,0.005304575,0.01,0.007400513,94.7,0.459946603,0.106088429
11,815.62,0.071833779,0.457671328,46.73,0.026220753,0.015650511,0.004401445,0.01,0.007204533,95.8,0.545155618,0.10966051
12,815.62,0.092644859,0.486849343,22.31,0.013318407,0.013111591,0.005258083,0.02,0.004680872,95.7,0.592605793,0.115902222
13,815.62,0.083101119,0.454642273,19.85,0.011063942,0.011188507,0.004477262,0.02,0.006626606,96.7,0.548931899,0.10526893
14,815.62,0.079155893,0.359345725,15.31,0.006745477,0.014853716,0.006268501,0.02,0.016233683,96.1,0.453355334,0.108403554
15,815.62,0.090861518,0.365571445,16.14,0.007232642,0.011697292,0.005395174,0.01,0.010487795,93.5,0.468130256,0.113977129
16,815.62,0.076863736,0.462771897,19.07,0.010821283,0.009238958,0.0043571,0.02,0.013490677,93.8,0.548874592,0.105532795
17,815.62,0.07811669,0.515768946,15.53,0.009818877,0.010615349,0.004720926,0.01,0.007188797,95.9,0.604500985,0.099845291
18,815.62,0.088820672,0.388001891,29.92,0.014231382,0.01551199,0.004719019,0.02,0.006989002,96,0.492334553,0.114760075
19,815.62,0.075074393,0.404933587,14.62,0.007258939,0.011109114,0.00406909,0.01,0.010619402,93.9,0.491117094,0.097021824
20,815.62,0.07640996,0.520804136,17.88,0.011415039,0.01513052,0.004438162,0.02,0.009565353,93.5,0.612344617,0.101828515
21,815.62,0.099722546,0.505810582,18.13,0.011242658,0.009212494,0.004616499,0.02,0.006592512,96,0.614745621,0.122174214
22,815.62,0.071460768,0.457389717,23.3,0.013066165,0.009989977,0.004498243,0.01,0.011597157,96.1,0.538840462,0.100622333
23,815.62,0.089653912,0.39497551,18.84,0.009124823,0.009866714,0.005488396,0.02,0.007997513,94.8,0.494496136,0.112264644
24,815.62,0.077779725,0.34020768,22.17,0.009248174,0.015419483,0.004419804,0.01,0.007537603,94.3,0.433406888,0.098985306
25,815.62,0.068823456,0.377575703,26.25,0.012154122,0.011089325,0.005005598,0.01,0.012256384,96.9,0.457488484,0.09823956
26,815.62,0.096144638,0.359374209,39.96,0.017607271,0.013211489,0.004453897,0.01,0.008260965,92.8,0.468730336,0.126466772
27,815.62,0.095125962,0.534101534,24.17,0.015828641,0.01618576,0.004837751,0.01,0.006035805,94,0.645413256,0.121828159
28,815.62,0.08793007,0.355800852,31.98,0.013949592,0.010699511,0.004612684,0.01,0.010242701,93.5,0.454430433,0.116735047
29,815.62,0.078421513,0.475702662,29.08,0.016961147,0.014461756,0.00436759,0.01,0.009699583,94.9,0.568585931,0.109449833
30,815.62,0.083416095,0.330884991,26.5,0.010749008,0.027574301,0.005010128,0.01,0.013223171,96.6,0.441875387,0.112398402
31,815.62,0.091698072,0.498321593,47.02,0.02872509,0.011369705,0.00449872,0.01,0.009991169,95.5,0.601389371,0.134913051
32,815.62,0.081103341,0.333251675,15.82,0.006463933,0.011481047,0.004468441,0.02,0.008063316,94.9,0.425836063,0.100099032
33,815.62,0.094650847,0.416877877,28.61,0.014622171,0.010478735,0.004543304,0.01,0.007929087,95.7,0.522007459,0.121745409
34,815.62,0.087764162,0.48964243,33.01,0.01981551,0.009457588,0.00443244,0.01,0.006023169,95,0.58686418,0.11803528
35,815.62,0.071242188,0.342240892,13.81,0.005795804,0.01593256,0.004480839,0.01,0.007040977,96.9,0.429415639,0.088559808
36,815.62,0.068814824,0.480224616,29.97,0.017646185,0.012002468,0.004404068,0.02,0.026690722,95.2,0.561041908,0.117555798
37,815.62,0.089305061,0.366355445,45.39,0.020388172,0.016533613,0.004639864,0.01,0.005818844,95.7,0.472194119,0.120151941
38,815.62,0.07795327,0.441140439,25.5,0.013789864,0.009221792,0.004381895,0.01,0.011058331,95.9,0.528315501,0.10718336
39,815.62,0.071481246,0.390878014,25.89,0.01240682,0.015393257,0.004599571,0.02,0.008431911,95,0.477752517,0.096919549
40,815.62,0.080987253,0.333532131,22.34,0.009137391,0.011729479,0.004969835,0.01,0.006742001,96.6,0.426248862,0.101836479
41,815.62,0.075516372,0.365278781,18.7,0.00837622,0.012000322,0.004597425,0.01,0.007940769,95.7,0.452795475,0.096430787
42,815.62,0.068592672,0.500014142,26.37,0.01616425,0.012910843,0.004637241,0.02,0.006979704,94.6,0.581517657,0.096373867
43,815.62,0.071860016,0.35177252,21.02,0.00906724,0.017302513,0.004563093,0.01,0.016885519,93.7,0.44093505,0.102375868
44,815.62,0.078500092,0.42962928,18.89,0.009951124,0.011036634,0.004558802,0.01,0.007333279,95.7,0.519166006,0.100343296
45,815.62,0.073325065,0.423366937,26.47,0.013739149,0.013144016,0.005000353,0.01,0.009662151,94.8,0.509836019,0.101726719
46,815.62,0.075743965,0.460580221,20.44,0.011544836,0.010718584,0.004717588,0.01,0.006976843,94.7,0.547042769,0.098983232
47,815.62,0.09978586,0.407124306,43.34,0.021635303,0.011481285,0.004821539,0.01,0.005686283,95.7,0.518391452,0.131928985
48,815.62,0.096684546,0.518351619,29.79,0.018929268,0.012313604,0.005074263,0.02,0.007772207,96.7,0.627349769,0.128460283
49,815.62,0.069275611,0.394594227,28.43,0.013753158,0.012786627,0.004636049,0.01,0.01059413,95.9,0.476656464,0.098258948
50,815.62,0.101863802,0.468554054,15.89,0.009128726,0.01152277,0.004561901,0.01,0.010812521,96,0.581940626,0.12636695
51,815.62,0.076960684,0.370402974,23.3,0.010582562,0.015228033,0.004770756,0.01,0.004724741,95.7,0.462591691,0.097038743
52,815.62,0.075504611,0.470588724,17.04,0.009830414,0.010121584,0.004692793,0.01,0.009043694,96.8,0.556214919,0.099071511
53,815.62,0.075435989,0.340803409,44.13,0.018441414,0.01005888,0.004646778,0.02,0.006458521,95.7,0.426298278,0.104982702
54,815.62,0.082479386,0.37556503,4.43,0.002039707,0.010692596,0.004825354,0.02,0.006888866,96.6,0.468737012,0.096233312
55,815.62,0.071380204,0.487519086,16.77,0.010025312,0.016112804,0.004673719,0.02,0.003157854,94.7,0.575012094,0.089237089
56,815.62,0.075790929,0.326779979,26.86,0.010762768,0.01687479,0.004927874,0.01,0.004655123,96.9,0.419445699,0.096136693
57,815.62,0.099971451,0.455013283,28.85,0.016093807,0.009774923,0.004558086,0.02,0.008421898,96.6,0.564759657,0.129045242
58,815.62,0.074117138,0.336252018,27.12,0.011182232,0.01201129,0.004627466,0.02,0.010754108,96,0.422380446,0.100680944
59,815.62,0.070921097,0.474822273,19.6,0.011412904,0.011073112,0.004660606,0.01,0.006510019,95.6,0.556816482,0.093504626
60,815.62,0.092374061,0.529487033,21.99,0.014274975,0.026189566,0.00447464,0.01,0.006790638,94.7,0.648050659,0.117914314
61,815.62,0.100627513,0.39427241,26.17,0.012649573,0.012135029,0.004386187,0.02,0.012662888,96.1,0.507034951,0.13032616
62,815.62,0.071277065,0.347004587,33.42,0.014217549,0.010475636,0.004701376,0.02,0.004793644,95.6,0.428757288,0.094989634
63,815.62,0.093042377,0.356757957,12.78,0.005591429,0.009110689,0.004097939,0.01,0.008086681,95.7,0.458911023,0.110818426
64,815.62,0.101391808,0.342307334,12.8,0.005370684,0.008344173,0.004507303,0.01,0.00875926,96.6,0.452043315,0.120029055
65,815.62,0.074623406,0.439311616,16.77,0.009030294,0.015646219,0.004607677,0.02,0.01596117,95.5,0.529581242,0.104222548
66,815.62,0.086284105,0.332260176,12.31,0.005015728,0.013171196,0.0045259,0.01,0.017623425,95.3,0.431715477,0.113449158
67,815.62,0.072582265,0.426905973,25.88,0.013543224,0.013003349,0.004490376,0.02,0.016637564,94.4,0.512491588,0.107253428
