,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent ,no_seg_time,after_seg_time
0,815.62,0.086276097,0.365535361,28.47,0.005762577,0.01397793,0.003992358,0.02,0.029953718,97.1,0.465789388,0.121267803
1,815.62,0.084085325,0.341740553,42.25,0.00411582,0.018077612,0.004529715,0.02,0.02563715,93.5,0.44390349,0.11532425
2,815.62,0.083879477,0.378718618,46.45,0.003805876,0.018281937,0.004646778,0.02,0.025084496,96.3,0.480880032,0.114330855
3,815.62,0.094219774,0.451601484,38.2,0.004567623,0.018049717,0.004587173,0.02,0.025074005,100,0.563870975,0.124615607
4,815.62,0.090214286,0.342527788,35.25,0.003635168,0.0201087,0.004513741,0.02,0.02508235,100,0.452850774,0.120557575
5,815.62,0.085848116,0.365359802,31.9,0.003683329,0.022046328,0.004642487,0.01,0.02481699,96.3,0.473254246,0.116337558
6,815.62,0.079964979,0.33148233,35.14,0.003907919,0.017121077,0.004367828,0.02,0.024718285,96.7,0.428568386,0.11006209
7,815.62,0.07438373,0.521975405,45.56,0.004755259,0.020173788,0.004477262,0.02,0.024700642,96.6,0.616532923,0.104783339
8,815.62,0.080548376,0.454428775,50.7,0.003922224,0.016462326,0.004246473,0.02,0.024415731,96.7,0.551439477,0.110576197
9,815.62,0.090747133,0.494858079,52.83,0.003855467,0.017771244,0.004458904,0.02,0.0253582,96.3,0.603376456,0.121719527
10,815.62,0.084266006,0.381038493,39.17,0.003769875,0.020936251,0.005242586,0.02,0.026239395,97,0.48624075,0.116857782
11,815.62,0.068831937,0.498366285,8.33,0.00373888,0.01569438,0.003794909,0.02,0.026581049,100,0.582892602,0.100019385
12,815.62,0.070454824,0.399680932,39.75,0.003940344,0.017926455,0.004417181,0.02,0.040801525,97.8,0.488062211,0.116902868
13,815.62,0.085787522,0.36344584,57.3,0.004198313,0.01932621,0.004780531,0.02,0.025784969,100,0.468559572,0.11760273
14,815.62,0.077192969,0.337980795,35.09,0.003819942,0.015788555,0.003960609,0.02,0.027220964,97,0.430962319,0.110319009
15,815.62,0.091748873,0.389024163,12.19,0.003643274,0.021043301,0.0051682,0.02,0.02476716,96.3,0.501816337,0.12287007
16,815.62,0.076971954,0.382355937,34.43,0.004037619,0.016051769,0.003959179,0.02,0.025057554,96.3,0.47537966,0.107895278
17,815.62,0.082360791,0.374082253,25.93,0.005103588,0.015817642,0.003881216,0.02,0.026129007,96.3,0.472260686,0.113955436
18,815.62,0.076292522,0.372603507,33.2,0.003717899,0.016240597,0.004077435,0.02,0.025093555,96.4,0.465136626,0.106544761
19,815.62,0.09579649,0.363221572,33.75,0.004109859,0.017971992,0.004477262,0.02,0.024709463,96.3,0.476990054,0.126207927
20,815.62,0.082899445,0.513454899,34.97,0.003700018,0.020665884,0.004790068,0.01,0.025094748,96.2,0.617020228,0.113671262
21,815.62,0.07618962,0.445446533,38.56,0.003819942,0.018093348,0.004505873,0.01,0.025074244,100,0.539729501,0.106883741
22,815.62,0.081935604,0.330874867,9.84,0.003490686,0.021129847,0.005305767,0.02,0.024811506,92.9,0.433940318,0.113488953
23,815.62,0.07169413,0.34153733,47.96,0.00385046,0.016547918,0.004239082,0.02,0.024861336,96.3,0.429779378,0.101913177
24,815.62,0.085062794,0.368482917,36.81,0.003810406,0.018031597,0.004457474,0.02,0.024597168,100,0.471577308,0.115385721
25,815.62,0.074267961,0.393052969,35.16,0.003975153,0.019382477,0.005821228,0.02,0.025261641,96.7,0.486703407,0.107191593
26,815.62,0.098428922,0.398779137,19.52,0.003638983,0.016793013,0.004021168,0.02,0.024800062,100,0.514001072,0.128810309
27,815.62,0.081834582,0.468170571,51.67,0.00383544,0.01905632,0.005496502,0.02,0.025045156,96.7,0.569061473,0.114027238
28,815.62,0.074366498,0.365730275,25.82,0.003767252,0.017721176,0.004208565,0.02,0.030398846,97.1,0.457817949,0.111116527
29,815.62,0.088730416,0.341935713,31.99,0.003721952,0.016123295,0.003991604,0.02,0.024809361,96.3,0.446789424,0.119512104
30,815.62,0.078295844,0.39745666,3.18,0.00356555,0.015707731,0.003684521,0.02,0.025158644,96.3,0.491460235,0.108834005
31,815.62,0.083537055,0.498563218,34.51,0.003803015,0.020003557,0.005050898,0.02,0.025189638,96.3,0.60210383,0.115945444
32,815.62,0.078533904,0.458367193,46,0.004053593,0.02664113,0.006655455,0.02,0.024857759,96.3,0.563542227,0.111534546
33,815.62,0.099209193,0.462790189,41.21,0.00462532,0.016608238,0.004132271,0.02,0.025898933,100,0.57860762,0.13135344
34,815.62,0.078424478,0.52880506,50.24,0.003873348,0.016166449,0.004281998,0.02,0.032749176,97.2,0.623395987,0.117010789
35,815.62,0.093510187,0.333279128,34.69,0.003745317,0.015756607,0.003882408,0.02,0.027001619,97.2,0.442545922,0.126122613
36,815.62,0.082590941,0.460497329,35.61,0.003786325,0.016080379,0.004053593,0.02,0.024764061,96.7,0.559168649,0.112739059
37,815.62,0.10064301,0.347946992,36.09,0.00367713,0.015799046,0.003952742,0.02,0.024857283,96.6,0.464389048,0.131409527
38,815.62,0.075584493,0.337069103,8.28,0.003593683,0.018781662,0.004302502,0.02,0.025140047,100,0.431435258,0.10700619
39,815.62,0.083262509,0.500076673,36.75,0.003823757,0.01740694,0.004430056,0.02,0.02533102,96.4,0.600746122,0.115378031
40,815.62,0.092644015,0.436810377,39.61,0.003708601,0.016570568,0.003928423,0.02,0.042475224,97.8,0.54602496,0.141158529
41,815.62,0.093273971,0.368022374,42.12,0.003945351,0.01577878,0.003976583,0.02,0.024721861,100,0.477075125,0.125599895
42,815.62,0.071755899,0.339443166,37.02,0.003813028,0.016860247,0.004293442,0.02,0.024500847,96.7,0.428059312,0.102372761
43,815.62,0.08606298,0.482979809,40.57,0.003807306,0.015913486,0.004046679,0.02,0.024170637,96.6,0.584956275,0.116291985
44,815.62,0.079017062,0.498637393,34.32,0.004102945,0.01594758,0.003946304,0.02,0.024595737,96.3,0.593602035,0.110188286
45,815.62,0.092076281,0.526190436,35.77,0.003811359,0.015792847,0.003920794,0.02,0.024490356,96.3,0.634059564,0.123133731
46,815.62,0.100223316,0.343437827,39.27,0.003862381,0.015744448,0.00398469,0.02,0.024370193,96.3,0.459405591,0.13053553
